192, 5.6130e+02
256, 5.4559e+02
###############
# NB, P, Q, Ns, GFLOPS
##############
# N=2, ntasks-per-node=8
#############
# NB, P, Q, Ns,
192, 4, 2, 10000, 2.6436e+02
200, 4, 2, 10000, 2.7266e+02
208, 4, 2, 10000, 2.6526e+02
216, 4, 2, 10000, 2.6578e+02
224, 4, 2, 10000, 2.7445e+02
232, 4, 2, 10000, 2.6331e+02
240, 4, 2, 10000, 2.5962e+02
248, 4, 2, 10000, 2.5142e+02
256, 4, 2, 10000, 2.5305e+02
264, 4, 2, 10000, 2.3195e+02
272, 4, 2, 10000, 2.5330e+02
280, 4, 2, 10000, 2.5191e+02
288, 4, 2, 10000, 2.4588e+02
296, 4, 2, 10000, 2.5069e+02
304, 4, 2, 10000, 2.5007e+02
312, 4, 2, 10000, 2.3929e+02
320, 4, 2, 10000, 2.3807e+02
320, 4, 2, 10000, 2.4105e+02
#############
# increasing to more resources, 1 full node
#############
200, 8, 4, 30000, 1.1648e+03
200, 16, 2, 30000, 8.8354e+02
208. 8, 4, 30000, ,
200, 32, 1, 30000, 5.8023e+02
208, 32, 1, 30000, 5.6788e+02
216. 8, 4, 30000, ,
208, 16, 2, 30000, 8.8160e+02
216, 16, 2, 30000, 9.0788e+02
216, 32, 1, 30000, 5.7123e+02
224, 16, 2, 30000, 8.7849e+02
224, 32, 1, 30000, 5.5428e+02
224, 8, 4, 30000, 1.1485e+03
232, 16, 2, 30000, 8.8595e+02
232, 8, 4, 30000, 1.1417e+03
232, 32, 1, 30000, 5.7434e+02
232, 8, 4, 30000, 1.1599e+03
#############
# increasing to more resources, 2 full nodes
#############
200, 32, 2, 30000, 9.2676e+02
200, 64, 1, 30000, 4.5293e+02
200, 16, 4, 30000, 1.4413e+03
200, 8, 8, 30000, 1.8518e+03
208, 64, 1, 30000, 4.5601e+02
208, 32, 2, 30000, 9.0702e+02
208, 8, 8, 30000, 1.8078e+03
208, 16, 4, 30000, 1.3992e+03
216, 32, 2, 30000, 8.6311e+02
216, 16, 4, 30000, 1.4445e+03
216, 64, 1, 30000, 3.7031e+02
216, 8, 8, 30000, 1.8687e+03
224, 64, 1, 30000, 4.6930e+02
224, 32, 2, 30000, 9.3046e+02
224, 8, 8, 30000, 1.8181e+03
224, 16, 4, 30000, 1.4421e+03
232, 32, 2, 30000, 9.2079e+02
232, 16, 4, 30000, 1.4470e+03
232, 64, 1, 30000, 3.7466e+02
232, 8, 8, 30000, 1.8500e+03
#############
# Looks like 
# NB=232, 200
# P == Q == 8 
# at ~ 1800 GFLOPS
# increasing to more resources, 4 full nodes
#
# Big tests for all the possible 4 node values
#
# Last test is max Ns
#
#############

160, 128, 1, 30000, 2.7724e+02
160, 64, 2, 30000, 7.4334e+02
160, 32, 4, 30000, 1.2613e+03
160, 16, 8, 30000, 2.0953e+03
168, 128, 1, 30000, 3.3649e+02
168, 64, 2, 30000, 7.6619e+02
168, 32, 4, 30000, 1.4667e+03
168, 16, 8, 30000, 2.1056e+03
176, 128, 1, 30000, 3.2740e+02
176, 64, 2, 30000, 7.6502e+02
176, 32, 4, 30000, 1.4344e+03
176, 16, 8, 30000, 2.1673e+03
184, 128, 1, 30000, 2.8730e+02
184, 64, 2, 30000, 8.1310e+02
184, 32, 4, 30000, 1.4490e+03
184, 16, 8, 30000, 2.1899e+03
192, 128, 1, 30000, 2.7186e+02
192, 64, 2, 30000, 7.8232e+02
192, 32, 4, 30000, 1.4389e+03
192, 16, 8, 30000, 2.1309e+03
200, 128, 1, 30000, 2.8826e+02
200, 64, 2, 30000, 8.0999e+02
200, 32, 4, 30000, 1.4247e+03
200, 16, 8, 30000, 2.1817e+03
208, 128, 1, 30000, 2.8910e+02
208, 64, 2, 30000, 7.1484e+02
208, 32, 4, 30000, 1.4191e+03
208, 16, 8, 30000, 2.1237e+03
216, 128, 1, 30000, 3.0029e+02
216, 64, 2, 30000, 7.5151e+02
216, 32, 4, 30000, 1.4461e+03
216, 16, 8, 30000, 2.1953e+03
224, 128, 1, 30000, 2.7703e+02
224, 64, 2, 30000, 8.0238e+02
