192, 5.6130e+02
256, 5.4559e+02
###############
# NB, P, Q, Ns, GFLOPS
##############
# N=2, ntasks-per-node=8
#############
# NB, P, Q, Ns,
192, 4, 2, 10000, 2.6436e+02
200, 4, 2, 10000, 2.7266e+02
208, 4, 2, 10000, 2.6526e+02
216, 4, 2, 10000, 2.6578e+02
224, 4, 2, 10000, 2.7445e+02
232, 4, 2, 10000, 2.6331e+02
240, 4, 2, 10000, 2.5962e+02
248, 4, 2, 10000, 2.5142e+02
256, 4, 2, 10000, 2.5305e+02
264, 4, 2, 10000, 2.3195e+02
272, 4, 2, 10000, 2.5330e+02
280, 4, 2, 10000, 2.5191e+02
288, 4, 2, 10000, 2.4588e+02
296, 4, 2, 10000, 2.5069e+02
304, 4, 2, 10000, 2.5007e+02
312, 4, 2, 10000, 2.3929e+02
320, 4, 2, 10000, 2.3807e+02
320, 4, 2, 10000, 2.4105e+02
#############
# increasing to more resources, 1 full node
#############
200, 8, 4, 30000, 1.1648e+03
200, 16, 2, 30000, 8.8354e+02
208. 8, 4, 30000, ,
200, 32, 1, 30000, 5.8023e+02
208, 32, 1, 30000, 5.6788e+02
216. 8, 4, 30000, ,
208, 16, 2, 30000, 8.8160e+02
216, 16, 2, 30000, 9.0788e+02
216, 32, 1, 30000, 5.7123e+02
224, 16, 2, 30000, 8.7849e+02
224, 32, 1, 30000, 5.5428e+02
224, 8, 4, 30000, 1.1485e+03
232, 16, 2, 30000, 8.8595e+02
232, 8, 4, 30000, 1.1417e+03
232, 32, 1, 30000, 5.7434e+02
232, 8, 4, 30000, 1.1599e+03
#############
# increasing to more resources, 2 full nodes
#############

200, 32, 2, 30000, 9.3003e+02
200, 64, 1, 30000, 4.3624e+02
200, 8, 8, 30000, 1.8842e+03
200, 16, 4, 30000, 1.4443e+03
208, 32, 2, 30000, 9.0626e+02
208, 64, 1, 30000, 4.3868e+02
208, 16, 4, 30000, 1.3518e+03
208. 8, 8, 30000, ,
